centre_code,centre_name,organisation_type,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,spark_certified,last_updated,latitude,longtitude,placeId
KG1589,3House Kindergarten (Tampines),Commercial,66047366,the3housekindergarten@hotmail.com,891 Tampines Avenue 8 #01-82 S(520891),520891,na,No,25/10/17,,,
KG1199,ACES Montessori Kidz Kindergarten,Commercial,65833013,na,Pasir Ris East Community CC 1 Pasir Ris Drive 4 #04-05 S(519457),519457,www.aceskidz.com,No,25/10/17,,,
KG1314,Agape Montessori House Kindergarten,Commercial,97879829,agape_montessori@yahoo.com.sg,11 Thomson Hills Drive S(574756),574756,na,No,25/10/17,,,
KG1230,Al - Amin Pre-School,Commercial,67860042,info@alamin.edu.sg,9 Tampines Street 32 #02-01 S(529287),529287,alamin.edu.sg,No,25/10/17,,,
KG1189,Al - Amin Preschool (Pasir Ris),Commercial,65832268,info@alamin.edu.sg,570 Pasir Ris Street 53 #01-64 S(510570),510570,alamin.edu.sg/ourschools/,No,25/10/17,,,
KG1173,Al - Ansar Mosque Kindergarten,NFP,64497280 | 64482420,lydiayanti@mujahidin.mosque.org.sg |,155 Bedok North Avenue 1 S(469751),469751,na,No,25/10/17,,,
KG1396,Al - Iman Mosque Kindergarten,NFP,67623103,lydiayanti@mujahidin.mosque.org.sg |,10 Bukit Panjang Ring Road S(679943),679943,na,No,25/10/17,,,
KG1195,Al - Istighfar Mosque Kindergarten,NFP,64267130,lydiayanti@mujahidin.mosque.org.sg |,2 Pasir Ris Walk S(518239),518239,na,No,25/10/17,,,
KG1286,Al - Istiqamah Mosque Kindergarten,NFP,62814287,lydiayanti@mujahidin.mosque.org.sg |,2 Serangoon North Avenue 2 S(555876),555876,na,No,25/10/17,,,
KG1416,Al - Khair Mosque Kindergarten,NFP,66310146,lydiayanti@mujahidin.mosque.org.sg |,1 Teck Whye Crescent S(688847),688847,na,No,25/10/17,,,
KG1337,Al - Mukminin Mosque Kindergarten,NFP,68999068 | 68999025,lydiayanti@mujahidin.mosque.org.sg |,271 Jurong East Street 21 S(609603),609603,na,No,25/10/17,,,
KG1303,Al - Muttaqin Mosque Kindergarten,NFP,65525464,lydiayanti@mujahidin.mosque.org.sg |,5140 Ang Mo Kio Avenue 6 S(569844),569844,na,No,25/10/17,,,
KG1359,Al-Nasry @ Jurong West Kindergarten,Commercial,63164220,alnasryjw@gmail.com,6 Admiralty Road S(739983),640743,www.alnasry.edu.sg,No,25/10/17,,,
KG1570,Al-Nasry @ Sengkang South,Commercial,63434305,na,552 Hougang Street 51 #B1-296 S(530552) #B1-1215 S(530541),530541,na,No,25/10/17,,,
KG1450,An - Nur Mosque Kindergarten,NFP,63631383,lydiayanti@mujahidin.mosque.org.sg |,6 Admiralty Road S(739983),739983,na,No,25/10/17,,,
KG1542,Ang Mo Kio Methodist Church Kindergarten,NFP,67056165,lydiayanti@mujahidin.mosque.org.sg |,1 Ang Mo Kio Street 21 S(569383),569383,na,No,25/10/17,,,
KG1382,Ar - Raudhah Mosque Kindergarten,NFP,68995840 | 63610806,lydiayanti@mujahidin.mosque.org.sg,30 Bukit Batok East Avenue 2 S(659919),659919,na,No,25/10/17,,,
KG1317,Arise Kindergarten,NFP,64622972,admin@arisekgn.org,2B Hindhede Road S(589240),589240,www.arisekgn.org,No,25/10/17,,,
KG1040,Artskidz Preschool,Commercial,64568003,hr@artskidz.com.sg,10 Raeburn Park S('088702),88702,artskidz.com.sg,No,25/10/17,,,
KG1343,Assyakirin Mosque Kindergarten,NFP,62681846,lydiayanti@mujahidin.mosque.org.sg |,550 Yung An Road S(618617),618617,na,No,25/10/17,,,
KG1518,Banyan Tree Education @ AMK PTE. LTD.,Commercial,66848876,kidslandnorthstar@gmail.com,Northstar@AMK 7030 Ang Mo Kio Ave 5 #01-45 S(569880),569880,banyantreeeducation.com.sg,No,25/10/17,,,
KG1080,Barker Road Methodist Church Kindergarten,NFP,62558430,principal@brmck.edu.sg,70 Barker Road #01-01 S(309936),309936,www.brmck.edu.sg,No,25/10/17,,,
KG1170,Bedok Lutheran Church Kindergarten,NFP,64431621,blck1982@yahoo.com,485 Bedok South Avenue 2 S(469315),469315,na,No,25/10/17,,,
KG1171,Bedok Methodist Church Kindergarten,NFP,64458048,bmck@bmc.org.sg,86 Bedok Road S(469371),469371,www.bmc.org.sg/kindergarten,Yes,25/10/17,,,
KG1255,Bethany Kindergarten,NFP,62871209,kindergarten@bethanyipc.sg,301 Upper Paya Lebar Road S(534934),534934,na,No,25/10/17,,,
KG1516,Bethel Kinderlites,NFP,67445860,admin@bethelcs.org.sg,114 Aljunied Avenue 2 #03-75 S(380114),380114,www.bethelcs.org.sg,No,25/10/17,,,
KG1304,Bethesda (Ang Mo Kio) Kindergarten,NFP,64536134,bethkindamk@gmail.com,601 Ang Mo Kio Ave 4 S(569898),569898,bethesdakindergarten.com,No,25/10/17,,,
KG1172,Bethesda (Bedok-Tampines) Kindergarten,NFP,66450740,kindyadmin@bbtk.com.sg | graceseah@bbtk.com.sg,300 Bedok North Avenue 3 S(469717),469717,www.bbtc.com.sg/kindergarten/,No,25/10/17,,,
KG1288,Bethesda (Bukit Arang) Kindergarten,NFP,62870812,bbakinder@bcba.com.sg,114 Serangoon Avenue 3 S(556110),556110,na,No,25/10/17,,,
KG1009,Bethesda (Depot Walk) Kindergarten,NFP,62764732,bethdwkind@gmail.com,10 Depot Walk S(109590),109590,bethesdadwkindergarten.com,No,25/10/17,,,
KG1154,Bethesda (Katong) Kindergarten,NFP,64422622,bkk@bfec.org.sg,2 La Salle Street S(456929),456929,www.bfec.org.sg,No,25/10/17,,,
KG1196,Bethesda (Pasir Ris) Kindergarten,NFP,65850346,bprk@bpmc.com.sg,11 Pasir Ris Drive 2 S(518458),518458,na,No,25/10/17,,,
KG1125,Bethesda Chapel Kindergarten,NFP,67494077,na,27 Lorong Melayu S(416913),416913,www.bck.sg,No,25/10/17,,,
KG1237,Bibinogs Preschool K.A.,Commercial,64665357,principal@bibinogs.com,559 Bukit Timah Road #B1-01 S(269695),269695,www.bibinogs.com,No,25/10/17,,,
KG1543,Blue House International School,Commercial,67340824,enquiries@bluehouseinternational.com | office@bluehouseinternational.com,2 Turf Club Road S(287988),287988,www.bluehouseinternational.com,No,25/10/17,,,
