centre_code,centre_name,levels_offered,programme_hours,second_languages_offered,vacancy,registration_fee,fees_sc,fee_pr,last_updated
KG1002,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU Blk 1E (KN),Playgroup,na,Chinese,contactcentre,16.05,na,na,25-10-17
KG1002,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU Blk 1E (KN),Pre-Nursery,13:00 - 15:00|15:00 -17:00,Chinese,contactcentre,16.05,na,na,25-10-17
KG1002,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU Blk 1E (KN),Nursery,08:00 - 11:00|11:00 - 14:00|14:00 - 17:00,Chinese,contactcentre,16.05,na,na,25-10-17
KG1002,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU Blk 1E (KN),Kindergarten 1,08:00 - 12:00|13:00 - 17:00,Chinese,contactcentre,16.05,na,na,25-10-17
KG1002,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU Blk 1E (KN),Kindergarten 2,08:00 - 12:00,Chinese,contactcentre,16.05,na,na,25-10-17
KG1004,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 21 (KN),Playgroup,na,Chinese,contactcentre,16.06,na,na,25-10-17
KG1004,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 21 (KN),Pre-Nursery,na,Chinese,contactcentre,16.06,na,na,25-10-17
KG1004,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 21 (KN),Nursery,08:00 - 11:00|13:00 - 16:00,Chinese,contactcentre,16.06,na,na,25-10-17
KG1004,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 21 (KN),Kindergarten 1,08:00 - 12:00|13:00 - 17:00,Chinese,contactcentre,16.06,na,na,25-10-17
KG1004,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 21 (KN),Kindergarten 2,08:00 - 12:00|13:00 - 17:00,Chinese,contactcentre,16.06,na,na,25-10-17
KG1005,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS Blk 108 (KN),Playgroup,na,Chinese,contactcentre,16.05,na,na,25-10-17
